epoch,lossD,lossG
0,0.846344657502433,3.3824261181008843
1,1.1255203766595125,4.589443489686767
2,1.203436505025638,2.6432907251375064
3,1.1358851258998424,2.6247182006457215
4,0.7737313646322755,2.8103312121779678
5,0.6325726829834585,3.1096484172445877
6,0.604621402220304,2.96819083217873
7,0.698598261295097,3.034685925634177
8,0.6097811038560196,2.8691398261198358
9,0.6984505587295174,3.3241059616176303
10,0.7056306129388972,2.480769629417452
11,0.721566225419929,2.5774380606628937
12,0.626997445755676,2.802375591322303
13,0.6237098288053134,2.703135088816889
14,0.6760694142470736,2.4356950924340595
15,0.7017527083788854,2.3687437580846775
16,0.7627447853401017,2.1336166777336265
17,0.7256717943052239,2.3679345716545575
18,0.6660802083483128,2.293816546260167
19,0.7418645166639072,2.200690412953464
20,0.7912657777828448,1.9814264618003292
21,0.7798985039501556,2.0120068118770496
22,0.8369063916745216,1.8271234510804035
23,0.8072765972822714,1.909923083238256
24,0.8169115999105897,1.878035991748513
25,0.8236485165891363,1.8612301186966236
26,0.8364641393806889,1.7896048160377087
27,0.8564907660616486,1.7475599609077104
28,0.8799898186599268,1.683943876071271
29,0.8902818949491993,1.6638270139948392
30,0.9135882857003446,1.6184321814762759
31,0.9125537339812403,1.6150903561349108
32,0.9097400020434658,1.619445007365904
33,0.9092585720868507,1.6152331477035082
34,0.9318816947784505,1.562265970114706
35,0.9613383366609178,1.4979565808895046
36,0.9452737349309901,1.5499154697221988
37,0.9429080047205821,1.5491457778507713
38,0.9463894730056527,1.5452490831488994
39,0.955496961119841,1.52057368160565
40,0.9528089948554537,1.53031675444483
41,0.9739624310149821,1.4857589535113336
42,0.9844277163050068,1.4647471367169036
43,0.9939795989217535,1.4541531649988089
44,0.9978385994683451,1.4330702759563796
45,0.983109495469502,1.4711051346904942
46,0.9949143575961148,1.4314145598965666
47,0.9918131393028983,1.4470958144807105
48,0.991704699771999,1.4472967761793116
49,0.9960438312370894,1.4388622175782984
50,0.9996890616950704,1.4431359675138997
51,1.00693470322247,1.428612564481906
52,1.012524918452509,1.407439270126286
53,1.0070399863125166,1.4278498493405039
54,1.0063789327388633,1.420990938062607
55,1.0205001637244275,1.389062151281056
56,1.0153918113789833,1.402284637887849
57,1.010483006742209,1.4242587975347474
58,1.0152942781636456,1.3975642439780205
59,1.0219589002223919,1.398843223352168
60,1.020866293325099,1.394144116243574
61,1.0139356561815307,1.4135235675743647
62,1.0172748706106947,1.3891013032083572
63,1.0158208534280375,1.4018033192610182
64,1.0166524251513898,1.4086453680163507
65,1.0216523145815966,1.3949342162243084
66,1.0119937344400614,1.4043246372930531
67,1.0139447540235418,1.4157553672282173
68,1.0177106481752416,1.402374791056871
69,1.0227323766074963,1.3874172913367306
70,1.018126057981174,1.3972659168848351
71,1.0161582808504734,1.405815191551058
72,1.0184244669830875,1.3906278504745793
73,1.0225071129260033,1.3903715532979986
74,1.0197444845999737,1.3908975618734543
75,1.0226681316330997,1.3777628616610569
76,1.013816702912357,1.4007147884826416
77,1.0178527978183365,1.4117925867978445
78,1.0187972433912729,1.400375712464359
79,1.0213832419310043,1.387766114303044
80,1.0188376161970818,1.4005321017079262
81,1.0142535836711875,1.3988550224029688
82,1.019806255346168,1.3939332535017783
83,1.018122925496559,1.394606637420939
84,1.014913610939278,1.3973176147002402
85,1.0149139395909015,1.405117571925812
86,1.0193235076058393,1.3895138630480655
87,1.018386115778738,1.3868798426092306
88,1.0193884198599532,1.3939456445957297
89,1.0180072531517126,1.3755736265863692
90,1.0177840692783469,1.403980078282895
91,1.0114154489055625,1.4014092122695085
92,1.0138848840809072,1.4035958556224033
93,1.016279220771688,1.4138552798772417
94,1.0138736078734083,1.384716782425004
95,1.0004875959872184,1.4275826975099568
96,1.0091276955502881,1.4176344783194283
97,1.0066172192091627,1.4215985482562579
98,0.9998549707154475,1.4370832529657684
99,1.0012877531397317,1.4278652928531297
